序號,班級,學號,姓名,GitHub帳號,作業1,作業2,作業3,作業4,作業5,作業6,作業7,作業8,作業9,作業10
41,資工系,11159034,崔芳弘,XES8lwTAcO,9,6,3,9,10,10,2,2,5,6
42,電資資安,111C5310,石偉婷,bzn85SgbBu,8,0,6,7,4,8,7,4,5,3
43,資工所,11159891,楊曉育,90sJCpc1IG,7,7,0,9,10,6,9,7,3,8
44,資工系,11259020,邵仁彥,UJB3pMlchJ,2,0,2,0,0,5,4,4,1,7
45,資工系,11159040,戴銘雅,16jEWEFhjr,8,0,6,0,8,7,7,4,4,7
46,電資資安,112C532,韓芬欣,IteL79Z3WF,0,5,3,8,9,8,9,7,3,6
47,資工所,11159850,袁雅瑜,Fv6c535TlD,2,1,5,10,0,2,0,10,5,6
48,電資AI,111C526,秦倫龍,wOH1Kxxcel,7,2,6,7,0,3,6,2,10,2
49,創新AI,112C7172,彭立芳,e7ROnvniUW,2,8,3,6,9,6,9,6,3,3
50,資工所,11159825,洪鈴弘,oKDOFBpCIl,0,10,0,3,5,10,9,0,8,2
51,創新AI,111C7154,閻明婷,JOStiGLZQF,0,5,6,0,3,10,10,1,2,8
52,電資AI,112C5236,孔宇翔,SbO4UAWcsB,3,2,2,0,9,3,5,10,7,7
53,資工所,11159877,夏文世,3ZqWPWGZAw,1,0,6,4,6,4,6,0,3,6
54,電資AI,112C5241,段心明,u6Me2lA0hr,3,5,4,6,0,5,5,4,2,6
55,資工系,11159044,潘菁育,iMcrBAxHBM,8,8,0,4,5,3,1,5,6,5
56,電資資安,111C5356,羅建弘,nhUxj1jTSN,9,2,10,0,6,4,3,10,7,2
57,創新AI,111C7169,金慶家,Z8WzsqY8N1,1,7,8,5,9,10,8,9,2,3
58,電資AI,111C525,熊正祥,KRF6HnDGoO,7,1,8,3,0,4,7,4,3,0
59,電資資安,112C5390,廖冠昌,JDOfV6kJyl,8,9,8,9,7,7,7,2,5,4
60,資工系,11259096,白芬信,pYe2erpBlt,2,1,1,3,4,4,2,3,8,7
61,資工所,11159821,夏俊真,9DyPCAiuK5,4,9,3,1,7,7,1,9,8,10
62,資工系,11259039,邱憲昌,DMxpocJMaO,4,7,4,10,1,4,1,1,1,6
63,資工系,11159014,施心玲,DmPbn9qomo,2,3,2,4,1,10,4,8,9,8
64,創新AI,111C7110,劉儀珮,yuwz6qliw3,1,10,9,6,10,5,10,6,9,7
65,創新AI,111C7153,顧維榮,RYO8uqAUPc,7,9,10,2,4,10,5,3,6,7
66,電資資安,112C5349,趙強彥,3OFzxNbMSi,0,0,8,8,2,5,10,7,7,3
67,電資AI,112C5236,江瑩聖,FPUADeENfA,2,5,5,3,10,9,3,5,10,2
68,資工系,11259091,錢宜貞,5zVI3wcm6H,6,8,3,4,2,8,0,3,10,0
69,電資資安,112C5375,姜安賢,MxKh8SZTtg,4,1,7,5,1,1,2,3,6,9
70,電資資安,111C5356,吳芳育,dnNMBpRg3m,9,6,0,3,1,2,8,2,6,2
71,電資AI,111C5218,龍成惠,5pC7aFwfZ4,5,5,1,1,4,3,8,8,2,4
72,電資AI,112C5267,白琪倫,OjX8CDuxds,9,7,7,6,4,1,6,3,7,0
73,資工所,11159813,石芬憲,Yy0eM6mzxf,0,4,6,5,2,4,4,5,5,3
74,資工系,11159027,孟菁珍,3xr77aWrUl,6,7,3,0,5,10,8,10,5,1
75,電資AI,111C5230,盧翔儀,XomZoksPZZ,1,5,2,6,2,4,9,0,1,3
76,資工所,1125984,王娟菁,Tkw1RY1mxE,9,4,10,6,2,6,8,7,2,3
77,電資資安,112C5315,林彥倫,xdyejFxu6R,5,2,8,5,10,8,5,4,6,9
78,電資AI,111C5259,汪哲珮,Q7PuugO6VJ,6,10,0,2,1,0,7,3,6,8
79,資工系,11259095,於嘉賢,CiqDv1Cnds,10,6,4,4,5,5,10,4,0,2
80,資工系,11159081,梁郁昌,C5tLCtkCMC,5,5,1,5,5,4,1,8,4,1
81,電資資安,112C5316,侯良心,UmgGGM8rMB,5,5,4,3,7,2,2,6,10,10
82,資工系,1125902,吳永宗,BYV1AdQBCi,1,0,7,5,2,2,10,3,2,9
83,資工所,11259823,范安宗,cXYp6OvdJJ,5,7,3,2,3,7,5,1,4,3
84,資工系,11259031,沈貞明,Cq5ivFnrrk,9,10,3,9,8,8,8,4,9,0
85,資工所,1115982,杜秀哲,JYccB0QWKg,4,10,10,6,1,9,8,6,2,6
86,資工所,11159864,傅元萍,D7vOVLxxDO,2,4,7,9,10,8,8,2,10,7
87,創新AI,112C7172,汪玲瑞,1lNqNoMZcK,4,6,2,9,2,7,10,0,6,6
88,電資AI,111C5265,董君強,K4UGTvPWms,0,0,9,6,6,10,1,0,7,10
89,電資資安,112C5359,馬孟彥,KHefg0SOwx,9,2,2,10,8,5,1,5,4,6
90,電資資安,112C5397,朱美良,zirBc1nz23,7,1,7,7,10,8,7,10,7,3
91,電資資安,111C5335,趙聖彥,SXgHrcS0Uw,3,7,5,2,6,8,10,3,1,6
92,電資AI,112C5235,秦瑜正,KZwdl7UWWw,3,10,5,3,1,6,2,1,9,7
93,資工系,11259098,廖弘信,yojKzhJUdW,6,7,6,7,1,6,3,4,6,5
94,電資資安,112C5377,田雯士,wUCF2qr5FT,5,8,10,7,9,1,5,0,2,0
95,電資AI,111C5284,黃龍冠,ODjaCGeYLo,7,0,7,8,0,2,5,4,3,3
96,創新AI,111C7169,韓翔倫,RKJJdV7GT7,7,7,7,5,10,0,1,2,9,9
97,資工所,11159870,邱賢惠,DBa2qdaWI0,10,5,8,2,0,0,0,8,8,2
98,資工系,11159091,趙孟婷,bmZKdrGRfK,3,4,1,3,7,10,5,1,7,3
99,資工所,11259840,趙宇文,PjvGgtIiX4,3,8,2,5,3,1,10,1,10,6
100,電資資安,111C5361,汪蓉昌,qcaSTrwvxt,6,8,1,5,7,8,3,8,8,8
101,資工所,11159885,毛建銘,Kp3ZeqZK0x,2,5,7,10,9,3,2,4,0,1
102,創新AI,111C7119,蔡曉敏,LRetmCIGHf,3,1,5,5,3,6,4,4,3,2
103,電資資安,111C5384,蔣鈴欣,SvvptzbWvm,0,9,5,10,5,0,6,4,7,7
104,資工系,11259094,韋正怡,DQNGFRT2xR,6,1,8,6,1,0,10,10,5,8
105,資工所,11159863,鄒柏芬,MMLUMGSBJl,9,0,5,8,10,7,4,7,2,1
106,資工所,1115981,嚴憲民,CYBOAG5w7P,6,8,10,9,9,0,7,6,4,0
107,資工系,11159055,沈民佩,ocOAw0L7Vz,8,0,9,0,2,1,6,8,0,10
108,資工所,11259868,丁菁強,nC6R4BNgOB,6,10,7,10,8,1,9,8,7,8
109,電資AI,112C5245,常世育,mCQCa9nqwk,8,5,9,5,9,4,8,4,6,7
110,電資AI,112C5289,胡銘翔,r0oGzAubow,0,1,10,0,6,2,1,2,10,3
111,資工系,11259098,沈宜琪,t5SKFh63ZY,6,4,4,7,1,6,3,9,7,1
112,電資資安,111C5339,陳孟明,9Cookf58bg,1,6,3,2,7,9,4,6,2,5
113,資工所,11159871,胡安瑜,Pr4U85eB0k,0,1,7,5,4,8,7,3,5,6
114,資工系,1125909,黃聖麗,qo8ZCdTOS6,7,3,5,4,5,9,2,7,10,2
115,資工系,11259041,段玉明,dD0lAx22sT,10,4,9,7,5,2,7,1,5,2
116,電資資安,111C5333,夏君立,Xf7Cnjh0Ov,8,0,2,9,4,6,10,3,10,1
117,電資資安,111C5335,施慧翔,TqCIx845Zp,3,4,9,10,7,4,8,3,1,0
118,資工所,11159849,高宏成,fYWQJWgj9A,3,2,1,4,2,5,0,2,3,7
119,創新AI,111C7130,彭冠君,Nto3jENZF9,4,6,8,7,0,6,0,7,9,1
120,資工系,11159086,何翔建,cvS4UnwcUn,8,10,10,1,2,8,4,9,8,3
